Sensor: LSM6DSL Accelerometer
Vendor: STM
TimestampAcc [ns]; AccX [m/s^2]; AccY [m/s^2]; AccZ [m/s^2]
473995414320987;-0.6213;9.6618;1.1193;
473995440988727;-0.3879;9.9036;1.0283;
473995465007116;-0.4609;9.4906;1.1887;
473995486344695;-0.6129;9.4475;1.4138;
473995507029254;-0.4178;9.8653;0.9697;
473995527339495;-0.3747;9.7193;1.2653;
473995547493981;-0.2813;9.6905;1.4030;
473995567602551;-0.7051;9.7229;1.0666;
473995587639624;-0.1844;9.8258;0.8751;
473995607641776;-0.4322;9.5445;1.0822;
473995627636102;-0.2406;9.5756;1.1121;
473995647712092;-0.6117;9.7037;0.9517;
473995667688972;-0.2969;9.7767;1.0786;
473995687660296;-0.3508;9.6881;1.2258;
473995707648074;-0.5567;9.6259;1.3815;
473995727644078;-0.2610;9.8438;1.1205;
473995747648253;-0.5854;9.6786;1.0259;
473995767645206;-0.2538;9.6845;1.2474;
473995787641029;-0.5650;9.6606;1.1899;
473995807677806;-0.2789;9.8426;1.0618;
473995827664156;-0.5842;9.6738;1.0642;
473995847656792;-0.2454;9.6905;1.0822;
473995867656822;-0.4908;9.6594;0.9840;
473995887675337;-0.2981;9.6750;1.1708;
473995907663556;-0.4513;9.6426;1.1863;
473995927657877;-0.3879;9.6929;1.2486;
473995947902595;-0.3412;9.8378;1.1205;
473995967789415;-0.5962;9.6594;1.1349;
473995987732422;-0.1844;9.6941;1.1504;
473996007688175;-0.5351;9.6786;1.2390;
473996027672936;-0.2813;9.7863;1.1624;
473996047657721;-0.5088;9.6534;1.3096;
473996067673094;-0.2298;9.7947;1.0882;
473996087785050;-0.6476;9.6738;0.8906;
473996107717816;-0.2251;9.6690;1.0606;
473996127694737;-0.4166;9.6199;1.0642;
473996147679025;-0.3974;9.6690;1.2198;
473996167678630;-0.3675;9.7420;1.1636;
473996187752433;-0.4932;9.6714;1.2318;
473996207729392;-0.2741;9.7791;1.1935;
473996227691756;-0.5411;9.6618;1.1289;
473996247666361;-0.2394;9.7348;1.2342;
473996267661010;-0.5112;9.6714;1.1732;
473996287674738;-0.1951;9.7779;1.0582;
473996307703025;-0.6357;9.6079;1.2498;
473996327682592;-0.1891;9.7767;1.0750;
473996347673645;-0.5878;9.7001;0.9278;
473996367712825;-0.2825;9.6774;1.1444;
473996387694338;-0.3974;9.6666;1.0331;
473996407687729;-0.4453;9.6522;1.1480;
473996427668655;-0.2969;9.7229;1.1480;
473996447666753;-0.5076;9.6522;1.3072;
473996467670013;-0.2550;9.7983;1.1660;
473996487680182;-0.5962;9.6941;1.0558;
473996507670190;-0.3100;9.7372;1.1899;
473996527696732;-0.5638;9.6618;1.1732;
473996547724926;-0.1508;9.7827;1.0523;
473996567730465;-0.6428;9.5744;1.1732;
473996587721619;-0.1712;9.7336;1.0295;
473996607690350;-0.5602;9.7169;0.8751;
473996627683254;-0.3711;9.6678;1.1384;
473996647697245;-0.3531;9.6917;1.1001;
473996667713836;-0.4717;9.6762;1.2510;
473996687690113;-0.2334;9.7552;1.1253;
473996707676809;-0.5722;9.6127;1.2677;
473996727667368;-0.1724;9.8007;1.0247;
473996747694648;-0.6644;9.7169;1.2390;
473996767678692;-0.1879;9.7396;1.2785;
473996787663483;-0.5818;9.5732;1.1552;
473996807675590;-0.2322;9.7073;0.9732;
473996827687836;-0.6105;9.6163;1.0714;
473996847697920;-0.2023;9.7576;1.0463;
473996867672116;-0.5375;9.7695;0.9266;
473996887697541;-0.4034;9.7073;1.2270;
473996907709042;-0.2574;9.7408;1.2294;
