Sensor: LSM6DSL Gyroscope
Vendor: STM
TimestampGyro [ns]; GyroX [rad/s]; GyroY [rad/s]; GyroZ [rad/s]
475003505174285;0.0189;-0.0919;0.0760;
475003565167189;-0.0196;-0.1163;0.0736;
475003605251160;0.1075;0.0633;-0.1005;
475003635195049;-0.0428;0.0333;-0.1152;
475003660203513;-0.0654;-0.0986;0.1090;
475003682669860;-0.0037;-0.0461;-0.1109;
475003703906034;0.1362;0.0694;-0.0902;
475003724546851;-0.0061;-0.0351;-0.0168;
475003745360702;-0.0012;-0.0271;0.0302;
475003765246493;0.1215;-0.0302;-0.0059;
475003785215273;0.1014;-0.0162;-0.0303;
475003805178663;0.0024;0.0113;-0.0205;
475003825176935;0.0379;-0.0821;0.0284;
475003845159379;0.1991;-0.0412;-0.0034;
475003865149985;-0.1026;0.1219;-0.1592;
475003885163481;0.1637;-0.0528;0.0687;
475003905168190;0.0079;-0.1402;0.2104;
475003925180795;0.0770;-0.0168;-0.0297;
475003945190405;0.0592;0.0174;0.0131;
475003965171845;0.0195;-0.0778;0.0571;
475003985156622;0.0672;-0.0333;0.0167;
475004005149972;-0.0251;-0.0302;0.0461;
475004025188724;0.0617;-0.0626;0.0448;
475004046217081;0.0849;-0.0699;0.0742;
475004065680394;0.0702;-0.0870;0.0613;
475004085412416;-0.0751;-0.0094;-0.0004;
475004105277004;-0.0788;-0.0357;0.0180;
475004125246221;0.0947;-0.1059;0.1212;
475004145196118;0.0818;-0.1072;0.0613;
475004165214874;0.0232;0.0168;-0.0340;
475004185182444;0.0159;-0.0174;-0.0456;
475004205164941;-0.1240;-0.1127;0.1609;
475004225191939;-0.0251;-0.1322;0.0558;
475004245213131;0.1044;-0.0430;-0.0511;
475004265219304;-0.0104;-0.0107;-0.0688;
475004285222794;-0.0727;-0.0430;-0.0205;
475004305249577;-0.0593;-0.1157;0.0363;
475004325257680;0.1637;-0.0748;0.0100;
475004346103405;0.0550;-0.0467;-0.0584;
475004365624652;0.0043;-0.0241;-0.0541;
475004385380641;0.0794;-0.0198;-0.0572;
475004405284366;-0.0458;-0.1328;0.0247;
475004425235902;-0.1240;-0.0754;0.0442;
475004445214266;0.1600;-0.0449;-0.1806;
475004465200910;0.1099;0.0327;-0.0474;
475004485216366;-0.1973;-0.0583;-0.0272;
475004505221248;0.1136;-0.0815;-0.0095;
475004525229900;0.1820;-0.0204;-0.0456;
475004545221246;-0.0684;0.0034;-0.1219;
475004565218630;-0.1161;-0.0522;-0.0016;
475004585222303;0.0794;-0.1463;0.0534;
475004605223409;0.1148;-0.0821;-0.0394;
475004625222519;-0.0782;-0.0125;-0.0407;
475004645223671;-0.0489;-0.0058;-0.1256;
475004665220304;0.0531;-0.0626;0.0412;
475004685229428;0.1044;-0.1286;0.0167;
475004705227490;0.0049;-0.0577;-0.0407;
475004725230425;-0.0519;-0.0540;-0.0431;
475004745224874;-0.0141;-0.1487;0.0503;
475004765224117;0.0904;-0.1102;0.0088;
475004785223296;-0.0568;-0.0082;-0.0840;
475004805227347;-0.0751;-0.0436;-0.0535;
475004825225565;0.1393;-0.1328;0.0858;
475004845224482;0.0250;-0.1377;0.0070;
475004865226210;-0.0153;-0.0601;-0.0346;
475004885225074;-0.0336;-0.0833;-0.0193;
475004905223063;0.1350;-0.1090;0.0424;
475004925221692;0.0910;-0.1133;-0.0065;
475004945225276;-0.0678;-0.0711;-0.0462;
475004965197741;0.0293;-0.0980;-0.0162;
475004985207955;0.0751;-0.1505;-0.0254;
