Sensor: LSM6DSO Acceleration Sensor
Vendor: STM
TimestampAcc [ns]; AccX [m/s^2]; AccY [m/s^2]; AccZ [m/s^2]
1028164587713590;0.0599;9.3999;1.4342;
1028164607737590;0.0599;9.3999;1.4342;
1028164627749590;0.0599;9.3999;1.4342;
1028164647778506;-0.5555;9.1102;1.5682;
1028164667784506;-0.3328;10.1038;0.3472;
1028164687789306;0.0383;10.1134;0.3903;
1028164707793306;0.1413;9.4047;1.3456;
1028164727796734;-0.4453;9.3927;1.2881;
1028164747799734;-0.2945;10.0344;0.4118;
1028164767802400;0.0718;9.9338;0.6776;
1028164787804800;-0.0192;9.4239;1.3288;
1028164807806981;-0.3328;9.5603;1.0631;
1028164827808981;-0.2801;9.9650;0.5339;
1028164847810827;0.0431;9.7974;0.8356;
1028164867812755;-0.0910;9.4550;1.2426;
1028164887814355;-0.2969;9.6753;0.9002;
1028164907815855;-0.1772;9.9219;0.6177;
1028164927817266;-0.0144;9.7136;0.9314;
1028164947818599;-0.1101;9.5244;1.1277;
1028164967819862;-0.2418;9.7232;0.8332;
1028164987821062;-0.1556;9.8453;0.7231;
1028165007822204;-0.0575;9.6609;0.9912;
1028165027823294;-0.1604;9.5723;1.0463;
1028165047824337;-0.2251;9.7495;0.8045;
1028165067825337;-0.1604;9.7926;0.7805;
1028165087826297;-0.0910;9.6417;0.9840;
1028165107827220;-0.1676;9.6417;0.9745;
1028165127827479;-0.1915;9.7423;0.8117;
1028165147827907;-0.1173;9.7399;0.8332;
1028165167828251;-0.1053;9.6393;0.9864;
1028165187828584;-0.1604;9.6633;0.9577;
1028165207828550;-0.1676;9.7591;0.8236;
1028165227828450;-0.1484;9.7255;0.8428;
1028165247828316;-0.1149;9.6417;0.9457;
1028165267828149;-0.1676;9.7112;0.9146;
1028165287827982;-0.1676;9.7471;0.8308;
1028165307827682;-0.1197;9.7064;0.8643;
1028165327827315;-0.1508;9.6561;0.9338;
1028165347826881;-0.1652;9.7160;0.9002;
1028165367826314;-0.1676;9.7351;0.8619;
1028165387825680;-0.1365;9.6896;0.8907;
1028165407824980;-0.1269;9.6896;0.9290;
1028165427824146;-0.1724;9.7255;0.8931;
1028165447822546;-0.1532;9.7088;0.8811;
1028165467821479;-0.1269;9.6848;0.9218;
1028165487819745;-0.1293;9.6824;0.8979;
1028165507817945;-0.1724;9.7208;0.8691;
1028165527816711;-0.1437;9.7064;0.8955;
1028165547815411;-0.1293;9.6920;0.9146;
1028165567814044;-0.1365;9.6992;0.8811;
1028165587811844;-0.1580;9.7184;0.8595;
1028165607810277;-0.1556;9.7160;0.8859;
1028165627808643;-0.1221;9.6992;0.9194;
1028165647806943;-0.1676;9.7016;0.8907;
1028165667805143;-0.1604;9.7064;0.8619;
1028165687803276;-0.1556;9.7088;0.8835;
1028165707834676;-0.1293;9.7112;0.9386;
1028165727866509;-0.1484;9.6920;0.9098;
