TimestampGNSS [ns]; UTC time [ms]; Lat [deg]; Lon [deg]; Height [m]; Speed [m/s]; Heading [deg]; Hor Acc [m]; Vert Acc [m]; Speed Acc [m/s]; Heading Acc [deg]
1028167800701097;1605968876458;48.799503064069;9.228547138002;299.6308;0.1283;242.1269;6.00000000;25.18166733;0.23242828;180.00000000;
1028168803513442;1605968877458;48.799506940468;9.228514459348;298.4731;0.2355;204.4849;12.00000000;13.00825119;0.24387775;180.00000000;
1028169851394249;1605968878458;48.799510670846;9.228489340579;299.8154;0.0194;167.2085;6.00000000;44.81863403;0.24516493;180.00000000;
1028170787133210;1605968879458;48.799501337960;9.228432724454;284.7143;0.0000;-3000.0000;6.00000000;15.40034962;0.12308436;-1.00000000;
1028171795506825;1605968880458;48.799500977588;9.228432461144;286.0742;0.0000;-3000.0000;6.00000000;10.96749210;0.12231323;-1.00000000;
1028173323547362;1605968882000;48.799500460401;9.228432331696;284.0027;0.0000;-3000.0000;4.00000000;7.34592295;0.12556890;-1.00000000;
1028174340437707;1605968883000;48.799500308919;9.228432300787;283.1771;0.0000;-3000.0000;4.00000000;6.54301548;0.12712400;-1.00000000;
1028175337151784;1605968884000;48.799500101915;9.228432289267;282.7974;0.0000;-3000.0000;4.00000000;6.03672934;0.12652577;-1.00000000;
1028176342807937;1605968885000;48.799499907802;9.228432250702;282.6896;0.0000;-3000.0000;4.00000000;5.63956881;0.12687443;-1.00000000;
1028177330200398;1605968886000;48.799499885496;9.228432089109;282.3324;0.0000;-3000.0000;4.00000000;5.40278530;0.12543821;-1.00000000;
1028178341131320;1605968887000;48.799499706392;9.228431878138;282.2844;0.0000;-3000.0000;4.00000000;5.20072031;0.12547344;-1.00000000;
1028179368813935;1605968888000;48.799496619514;9.228427252087;282.0880;0.0000;-3000.0000;4.00000000;5.03422737;0.11776797;-1.00000000;
1028180346616895;1605968889000;48.799496460314;9.228427184167;281.9895;0.0000;-3000.0000;4.00000000;4.88553047;0.11561948;-1.00000000;
1028181387049087;1605968890000;48.799496427509;9.228427029331;282.0934;0.0000;-3000.0000;4.00000000;4.75039959;0.11695746;-1.00000000;
1028182375350971;1605968891000;48.799496790873;9.228422952822;282.0296;0.0000;-3000.0000;4.00000000;4.62717056;0.11693434;-1.00000000;
1028183360046970;1605968892000;48.799496671292;9.228422836265;282.1187;0.0000;-3000.0000;4.00000000;4.51475620;0.11718687;-1.00000000;
1028184409402931;1605968893000;48.799496530805;9.228422652799;282.1329;0.0000;-3000.0000;4.00000000;4.39822865;0.11626644;-1.00000000;
1028185380663507;1605968894000;48.799495700712;9.228419534898;282.2108;0.0000;-3000.0000;4.00000000;4.25954199;0.11657234;-1.00000000;
1028186372078391;1605968895000;48.799495606213;9.228419591473;283.0184;0.0000;-3000.0000;4.00000000;4.09730482;0.11385916;-1.00000000;
1028187382243160;1605968896000;48.799495579046;9.228419690966;283.4808;0.0000;-3000.0000;4.00000000;3.96361661;0.11411303;-1.00000000;
1028188366266659;1605968897000;48.799496231548;9.228419760071;283.6063;0.0000;-3000.0000;4.00000000;3.85037899;0.11221509;-1.00000000;
1028189371648581;1605968898000;48.799496318445;9.228419749832;283.4695;0.0000;-3000.0000;4.00000000;3.76541495;0.10948561;-1.00000000;
1028190387621465;1605968899000;48.799496298802;9.228419628214;283.5070;0.0000;-3000.0000;4.00000000;3.69885135;0.10865328;-1.00000000;
1028191373872349;1605968900000;48.799496532830;9.228416550682;283.5658;0.0000;-3000.0000;4.00000000;3.63977671;0.10791628;-1.00000000;
1028192385579387;1605968901000;48.799496503566;9.228416449328;283.6680;0.0000;-3000.0000;4.00000000;3.58822036;0.10873297;-1.00000000;
1028193389951155;1605968902000;48.799496447710;9.228416301591;283.7494;0.0000;-3000.0000;4.00000000;3.55333924;0.10761240;-1.00000000;
1028194417299924;1605968903000;48.799495877629;9.228413893371;283.7457;0.0000;-3000.0000;4.00000000;3.52318668;0.10468379;-1.00000000;
1028195350213808;1605968904000;48.799495862854;9.228413868434;283.6530;0.0000;-3000.0000;4.00000000;3.48210359;0.10690695;-1.00000000;
1028196366705576;1605968905000;48.799495862854;9.228413868434;283.5266;0.0000;-3000.0000;4.00000000;3.44563460;0.10595534;-1.00000000;
1028197407504537;1605968906000;48.799495862854;9.228413868434;283.5532;0.0000;-3000.0000;4.00000000;3.40399075;0.10442866;-1.00000000;
1028198389340152;1605968907000;48.799495862854;9.228413868434;283.5556;0.0000;-3000.0000;4.00000000;3.36374569;0.10335625;-1.00000000;
1028199397152266;1605968908000;48.799495862854;9.228413868434;283.6033;0.0000;-3000.0000;4.00000000;3.32483530;0.10339853;-1.00000000;
1028200400884381;1605968909000;48.799495862854;9.228413868434;283.6912;0.0000;-3000.0000;4.00000000;3.28812313;0.10495702;-1.00000000;
1028201388505765;1605968910000;48.799495862854;9.228413868434;283.7551;0.0000;-3000.0000;4.00000000;3.25506544;0.10343449;-1.00000000;
1028202405904226;1605968911000;48.799495862854;9.228413868434;283.8258;0.0000;-3000.0000;4.00000000;3.22598290;0.10391875;-1.00000000;
1028203377317187;1605968912000;48.799495862854;9.228413868434;283.9644;0.0000;-3000.0000;4.00000000;3.20892811;0.10425251;-1.00000000;
1028204393752763;1605968913000;48.799495862854;9.228413868434;284.0955;0.0000;-3000.0000;4.00000000;3.19243002;0.10441200;-1.00000000;
1028205382300070;1605968914000;48.799495862854;9.228413868434;284.1906;0.0000;-3000.0000;4.00000000;3.17681408;0.10603192;-1.00000000;
1028206376012761;1605968915000;48.799495862854;9.228413868434;284.3677;0.0000;-3000.0000;4.00000000;3.16134501;0.10631654;-1.00000000;
1028207394932299;1605968916000;48.799495862854;9.228413868434;284.4562;0.0000;-3000.0000;4.00000000;3.13906813;0.10747767;-1.00000000;
1028208394244837;1605968917000;48.799495862854;9.228413868434;284.5771;0.0000;-3000.0000;4.00000000;3.12717676;0.10891553;-1.00000000;
1028209382213259;1605968918000;48.799495862854;9.228413868434;284.7518;0.0000;-3000.0000;4.00000000;3.11458254;0.11038224;-1.00000000;
1028210380927259;1605968919000;48.799495862854;9.228413868434;284.9024;0.0000;-3000.0000;4.00000000;3.09971428;0.11186522;-1.00000000;
1028211381150681;1605968920000;48.799495862854;9.228413868434;285.1175;0.0000;-3000.0000;4.00000000;3.08638692;0.11310121;-1.00000000;
1028212391142949;1605968921000;48.799495862854;9.228413868434;285.3109;0.0000;-3000.0000;4.00000000;3.07484674;0.11358207;-1.00000000;
1028213384775872;1605968922000;48.799495862854;9.228413868434;285.5236;0.0000;-3000.0000;4.00000000;3.06462979;0.11425142;-1.00000000;
1028214394171256;1605968923000;48.799495862854;9.228413868434;285.6086;0.0000;-3000.0000;4.00000000;3.04799151;0.11347608;-1.00000000;
1028215407788678;1605968924000;48.799495862854;9.228413868434;285.6407;0.0000;-3000.0000;4.00000000;3.03056812;0.11389852;-1.00000000;
1028216404988331;1605968925000;48.799495862854;9.228413868434;285.8083;0.0000;-3000.0000;4.00000000;3.00000000;0.11344853;-1.00000000;
1028217406226754;1605968926000;48.799495862854;9.228413868434;285.9800;0.0000;-3000.0000;4.00000000;3.00000000;0.11265631;-1.00000000;
1028218386487907;1605968927000;48.799495862854;9.228413868434;286.1248;0.0000;-3000.0000;4.00000000;3.00000000;0.11352462;-1.00000000;
1028219386632483;1605968928000;48.799495862854;9.228413868434;286.1737;0.0000;-3000.0000;4.00000000;3.00000000;0.11394367;-1.00000000;
1028220384571982;1605968929000;48.799495862854;9.228413868434;286.1945;0.0000;-3000.0000;4.00000000;3.00000000;0.11417473;-1.00000000;
1028221384209558;1605968930000;48.799495862854;9.228413868434;286.2327;0.0000;-3000.0000;4.00000000;3.00000000;0.11774536;-1.00000000;
1028222396009327;1605968931000;48.799495862854;9.228413868434;286.2633;0.0000;-3000.0000;4.00000000;3.00000000;0.11799334;-1.00000000;
1028223387904211;1605968932000;48.799495862854;9.228413868434;286.4274;0.0000;-3000.0000;4.00000000;3.00000000;0.11833584;-1.00000000;
1028224363500287;1605968933000;48.799495862854;9.228413868434;286.4981;0.0000;-3000.0000;4.00000000;3.00000000;0.11946125;-1.00000000;
1028225386292171;1605968934000;48.799495862854;9.228413868434;286.4950;0.0000;-3000.0000;4.00000000;3.00000000;0.11973535;-1.00000000;
1028226384995401;1605968935000;48.799495862854;9.228413868434;286.5867;0.0000;-3000.0000;4.00000000;3.00000000;0.12017441;-1.00000000;
1028227415397900;1605968936000;48.799495862854;9.228413868434;286.7262;0.0000;-3000.0000;4.00000000;3.00000000;0.11946341;-1.00000000;
1028228393794669;1605968937000;48.799495862854;9.228413868434;286.7742;0.0000;-3000.0000;4.00000000;3.00000000;0.12196873;-1.00000000;
